Priority,Business Name,Category,City,Phone,Google Rating,Reviews,Contact Name,Date Contacted,Channel,Response,Next Step,Next Touch Date,Status
1,Barbershop at 7 N Missouri St,Barbershop,Jackson,(731) 217-3491,5.0,30,,,,,,,New
2,Wampler's Barber Co,Barbershop,Kingsport,(423) 406-1662,4.9,265,,,,,,,New
3,Barbershop at 1903 N Highland Ave #2,Barbershop,Jackson,(731) 695-4828,4.8,25,,,,,,,New
4,Barbershop at 1903 N Highland Ave #3,Barbershop,Jackson,(731) 664-9912,4.8,37,,,,,,,New
5,Breaker Barber Company,Barbershop,Johnson City,(423) 900-0232,4.8,95,,,,,,,New
6,Barbershop at 119 Broad St,Barbershop,Kingsport,(423) 765-1750,4.8,140,,,,,,,New
7,Whitson Barber Shop,Barbershop,Elizabethton,(423) 543-6217,4.8,40,,,,,,,New
8,Bourbon and Blades,Barbershop,Cleveland,(423) 790-7650,4.8,255,,,,,,,New
9,The Fade Co Barber,Barbershop,Cleveland,(423) 464-5112,4.8,33,,,,,,,New
10,JC Male,Barbershop,Johnson City,(423) 328-7695,4.7,169,,,,,,,New
11,The Barbers Loft,Barbershop,Kingsport,(423) 245-4961,4.6,134,,,,,,,New
12,Gambuzza's Barbershop,Barbershop,Knoxville,(865) 588-4001,4.6,440,,,,,,,New
13,Rooster's Haircuts,Barbershop,Knoxville,(865) 288-7272,4.6,195,,,,,,,New
14,Zeus Barber Shop,Barbershop,Cleveland,(423) 371-9307,4.6,66,,,,,,,New
15,Barbershop at 209 N Royal St,Barbershop,Jackson,(731) 423-3405,4.5,12,,,,,,,New
16,Memphis Finest Barber Shop,Barbershop,Memphis,(901) 737-2887,,,,,,,,,New
17,Collins and Co. BarberShop,Barbershop,Nashville,(615) 712-7227,,,,,,,,,New
18,Prohibition Proper Barbershop,Barbershop,Nashville,(615) 750-5619,,18,,,,,,,New
19,Beverly's of Nashville Barbershop,Barbershop,Nashville,(615) 592-4162,,,,,,,,,New
20,Scout's Barbershop,Barbershop,Nashville,(615) 321-1200,,,,,,,,,New
21,Pike Barbershop,Barbershop,Knoxville,(865) 588-8840,,,,,,,,,New
22,In The Kut Barbershop,Barbershop,Chattanooga,(423) 457-6253,,,,,,,,,New
23,Shop Hands Barbershop,Barbershop,Hendersonville,(615) 338-7800,,,,,,,,,New
24,Hendersonville Barbers,Barbershop,Hendersonville,(615) 348-8199,,,,,,,,,New
25,The Barber Shop at Essence,Barbershop,Elizabethton,(423) 393-7795,,,,,,,,,New
26,Noah McGinnis Barber,Barbershop,Sevierville,(678) 468-4681,,,,,,,,,New
27,Tennessee Barber Co.,Barbershop,Franklin,(615) 660-4499,,,,,,,,,New
28,Magic Cuts Barber Shop,Barbershop,Memphis,,4.9,26,,,,,,,New
29,E.D. Bailey Barbers,Barbershop,Knoxville,,4.8,166,,,,,,,New
30,Tyler's Barbershop,Barbershop,Elizabethton,,4.7,85,,,,,,,New
31,Faded Barber Co.,Barbershop,Chattanooga,,4.6,46,,,,,,,New
32,Mid-City Barber Shop,Barbershop,Memphis,,4.4,65,,,,,,,New
33,Barbershop at 739 N Eastman Rd,Barbershop,Kingsport,,,4.9,,,,,,,New
34,BlueCollar BarberShop,Barbershop,Kingsport,,,,,,,,,,New
35,Village Barber Shop,Barbershop,Cookeville,,,,,,,,,,New
36,The Dapper Den Barbershop,Barbershop,Clarksville,,,,,,,,,,New
37,Eagle Cuts,Barbershop,Clarksville,,,,,,,,,,New
38,Mona Lisa's Barbershop,Barbershop,Clarksville,,,,,,,,,,New
39,Public Square Barbers,Barbershop,Gallatin,,,,,,,,,,New
40,Operation Barber Company,Barbershop,Sevierville,,,,,,,,,,New
41,Blades Barbershop,Barbershop,Pigeon Forge,,,,,,,,,,New
42,Powerhouse Fades And Shaves,Barbershop,Oak Ridge,,,,,,,,,,New
43,The Wildwood Reserve Barbershop,Barbershop,Murfreesboro,,,,,,,,,,New
44,University Barbershop & Salon,Barbershop,Murfreesboro,,,,,,,,,,New
45,The Bashful Barber,Barbershop,Franklin,,,,,,,,,,New
46,Quintana's Barber & Dream Spa,Barbershop/Spa,Cleveland,,,,,,,,,,New
47,Express Lane Oil,Auto Repair,Morristown,(423) 295-7657,4.9,76,,,,,,,New
48,Nashville Auto Repair,Auto Repair,Nashville,(615) 840-7476,,24,,,,,,,New
49,Dennis Hall's Auto Service,Auto Repair,Knoxville,(865) 690-1151,,,,,,,,,New
50,Doc's Auto & Tire Center,Auto Repair,Cookeville,(931) 526-7547,,14,,,,,,,New
51,Precision Automotive,Auto Repair,Morristown,,5.0,18,,,,,,,New
52,Elite Automotive & Performance,Auto Repair,Morristown,,4.9,85,,,,,,,New
53,Memphis Auto Repair Service Inc,Auto Repair,Memphis,,4.5,,,,,,,,New
54,All Terrain Auto Care,Auto Repair,Knoxville,,,,,,,,,,New
55,S&S Auto Repair,Auto Repair,Chattanooga,,,,,,,,,,New
56,Blackwell Automotive,Auto Repair,Chattanooga,,,,,,,,,,New
57,Practical Ideas Autoworks,Auto Repair,Kingsport,,,,,,,,,,New
58,Bills Automotive,Auto Repair,Kingsport,,,,,,,,,,New
59,Handyman Services Memphis,Handyman,Memphis,(901) 612-2502,,,,,,,,,New
60,Chop Chop Landscaping,Landscaping,Memphis,(901) 509-9495,,,,,,,,,New
61,First Lady Day Spa,Day Spa,Kingsport,,,,,,,,,,New
62,The Nail Spot,Nail Salon,Nashville,(615) 573-2143,4.8,147,,,,,,,New
63,East Nails & Spa,Nail Salon,Nashville,(615) 835-2612,4.7,146,,,,,,,New
64,South Nail Bar,Nail Salon,Nashville,(615) 997-9787,4.7,318,,,,,,,New
65,Eastside Nails,Nail Salon,Nashville,(615) 988-0449,4.5,79,,,,,,,New
66,Capital Nail Bar Nashville,Nail Salon,Nashville,(615) 430-3933,4.4,379,,,,,,,New
67,Jackson Nails,Nail Salon,Jackson,(731) 664-3000,,,,,,,,,New
68,Nail Bakery & Spa,Nail Salon,Knoxville,(865) 288-3100,,52,,,,,,,New
69,Blush Nail and Spa,Nail Salon,Chattanooga,(423) 602-5400,,,,,,,,,New
