Business Name,Category,City,State,Address,Phone,Email,Online Presence,Website Status,Notes
Tennessee Whiskers Mobile Pet Grooming,Pet Grooming,Murfreesboro,TN,Mobile - Murfreesboro TN,,,Facebook,No website found,Mother/daughter groom team with 30+ years experience
Animal Lovers Mobile Pet Grooming,Pet Grooming,Murfreesboro,TN,141 Turner Ave Murfreesboro TN 37127,(615) 971-0856,,Nextdoor / BBB / Groupon,No website found,Owner Colleen Cogill - in business since 2008 - A+ BBB rating
Allure Braid and Beauty Center,Hair Braiding / Beauty,Murfreesboro,TN,222 Heritage Park Ste 101 & 103b Murfreesboro TN,,,Facebook / Instagram,No website found,Licensed stylist and instructor - portfolio posted to social only
The Taco Shop,Restaurant,Murfreesboro,TN,2181 Old Fort Pkwy Murfreesboro TN 37129,(615) 617-3205,,Facebook / Instagram / DoorDash,No website found,Family-owned Mexican street food inside the Shell station - 2nd location in Franklin
El Monte Mexican Food,Restaurant,Murfreesboro,TN,2089 Lascassas Pike A Murfreesboro TN,(615) 624-7458,,Facebook / delivery apps,No website found,Street tacos and birria - dine-in drive-thru and delivery - only aggregator pages online
Nail Lounge Inc.,Nail Salon,Murfreesboro,TN,2395 New Salem Hwy Ste G Murfreesboro TN 37128,(615) 203-3161,,Facebook / Booksy / Fresha,No website found,Books through Booksy only - nail enhancements manicures pedicures
Mama Yo's Soul Food,Restaurant,Chattanooga,TN,3701 Alton Park Blvd Chattanooga TN 37410,(423) 635-8499,,Facebook / Yelp,No website found,Scratch-made soul food - pulled pork ribs collards mac and cheese
Nikki's Soul Food and Catering,Restaurant / Catering,Chattanooga,TN,Chattanooga TN,,,Facebook,No website found,4.9 stars on Facebook - ranked #149 of 1477 Chattanooga restaurants
Abuelitas Seasons,Food Truck,Chattanooga,TN,Mobile - Chattanooga TN,(423) 582-6739,423seasons@gmail.com,Facebook / Instagram / StreetFoodFinder,No website found,Mexican food truck - tacos tortas quesadillas burritos - vegetarian options
Chattanooga's Finest Tailor & Alterations,Tailor / Alterations,Chattanooga,TN,319 Dodds Ave Chattanooga TN 37404,(423) 991-4570,,Facebook / BBB,No website found,Owner Larry King - over 50 years experience - Mon-Fri 10am-6pm
The Gentleman's Barber Lounge,Barbershop,Chattanooga,TN,6215 Lee Hwy Ste B Chattanooga TN 37421,(423) 385-0086,,Facebook / Instagram / Squire,No website found,Winner B.E.C. 2021 Best Barbershop - books via Squire link only
Chapel Barber + Beard Supply,Barbershop,Chattanooga,TN,515 Airport Rd Ste 102 Chattanooga TN 37421,(423) 883-9564,,Facebook / Instagram,No website found,5.0 stars across 38 Google reviews - sells Chattanooga Beard Co products
El Rey Restaurant & Taqueria,Restaurant,Chattanooga,TN,6219 Lee Hwy Ste 7 Chattanooga TN,(423) 386-5337,,Facebook / delivery apps,No website found,Known for oversized fresh corn tortillas - only third-party ordering pages
Naturoily Clean,Cleaning Service,Chattanooga,TN,Chattanooga TN,,Naturalcleanorganic19@gmail.com,Facebook,No website found,All-natural plant-based cleaning - Best of the Best finalist 2022 and Top 5 2024
Marisela's Cleaning Services,Cleaning Service,Chattanooga,TN,Downtown Chattanooga TN,,,Facebook,No website found,Residential office deep clean move-in/out and post-construction - confirm identity, a same-named business in CA has a site
On the Spot Mobile Grooming,Pet Grooming,Franklin,TN,Mobile - Franklin TN,,,Facebook,No website found,Serves Franklin Spring Hill and Thompson's Station
