Business Name,Category,City,State,Address,Phone,Email,Online Presence,Website Status,Notes
Higher Ground Barbershop,Barbershop,Murfreesboro,TN,1810 Old Fort Pkwy Suite E Murfreesboro TN 37129,(615) 410-7140,highergroundbarbershop@gmail.com,Facebook / Instagram / Booksy,No website found,Owner Kelcey Bond - 5.0 stars with 276 reviews on Booksy
"Blackman Barbershop, Inc",Barbershop,Murfreesboro,TN,132 St Andrews Dr Suite C Murfreesboro TN 37128,,,Facebook / Booksy,No website found,Well-reviewed shop - barbers Rasheed and Kwon
Codger's Food Truck,Food Truck,Murfreesboro,TN,Mobile - Murfreesboro TN,(615) 476-2000,marty.driver@gmail.com,Facebook / StreetFoodFinder / Toast,No website found,Known for Big Bill half-pound burger and California Burritos - old Google business.site page is defunct
I TAKE IT,Food Truck,Murfreesboro,TN,Mobile - Murfreesboro TN,,,Facebook / Instagram / StreetFoodFinder,No website found,Le Cordon Bleu trained chef Kevin Edmondson - globally inspired dishes and Drip Chicken
Smith's Lawn Care and Landscaping,Lawn Care,Murfreesboro,TN,Murfreesboro TN,(615) 892-1377,Jsmithlawncare@gmail.com,Facebook,No website found,Owner-operated - 20+ years experience
Barnes & Co. Landscaping,Landscaping,Murfreesboro,TN,Murfreesboro TN,(615) 436-0062,,Facebook / Instagram / Nextdoor,No website found,Small family-owned - licensed and insured - free estimates
Middle Tennessee Landscaping,Landscaping,Murfreesboro,TN,Murfreesboro TN,,,Facebook,No website found,Professional landscaping and lawn business
CJ's Paint and Handyman Solution,Handyman / Painting,Murfreesboro,TN,Murfreesboro TN,,,Facebook,No website found,Painting - drywall - custom trim - pressure washing
My Nail Spa,Nail Salon,Murfreesboro,TN,1141 Fortress Blvd Ste E Murfreesboro TN 37128,(615) 956-6839,mynailspatn@gmail.com,Facebook / Booksy,No website found,Tue-Sat 9:30am-7pm
Jim's Handyman and Power Washing Company,Handyman / Pressure Washing,Murfreesboro,TN,2753 Oxford Hall Ave Murfreesboro TN 37128,(772) 867-4400,,Facebook / Yelp / BBB,No website found,Self-contained power washing trailer - BBB listed March 2025 - 5.0 on Yelp
