Business Name,City,Email,Email Source,Confidence
"Barbershop at 7 N Missouri St","Jackson","Not found","Not found","N/A"
"Barbershop at 209 N Royal St","Jackson","Not found","Not found","N/A"
"Barbershop at 1903 N Highland Ave #2","Jackson","Not found","Not found","N/A"
"Barbershop at 1903 N Highland Ave #3","Jackson","Not found","Not found","N/A"
"Jackson Nails","Jackson","Not found","Not found","N/A"
"Happy Nails","Jackson","happynails321@gmail.com","Nextdoor business page","Medium"
"Glossy Nails","Jackson","Not found","Not found","N/A"
"Magic Cuts Barber Shop","Memphis","Not found","Not found","N/A"
"Mid-City Barber Shop","Memphis","nickb@midcitybarber.com","Business website (midcitybarber.com) contact info","High"
"Memphis Finest Barber Shop","Memphis","Not found","Not found","N/A"
"Memphis Auto Repair Service Inc","Memphis","Not found","Not found","N/A"
"The Four Way Restaurant","Memphis","fourway901@gmail.com","Business website (fourway901.com) footer","High"
"Alcenia's","Memphis","Not found","Not found","N/A"
"JJ's Soul Food & Grill","Memphis","Not found","Not found","N/A"
"Memphis Finest BBQ & Soul Food","Memphis","Not found","Not found","N/A"
"Nail Bar","Memphis","Not found","Not found","N/A"
"Spa Nail","Memphis","Not found","Not found","N/A"
"Handyman Services Memphis","Memphis","Not found","Not found","N/A"
"Chop Chop Landscaping","Memphis","Not found","Not found","N/A"
"Nashville Auto Repair","Nashville","Not found","Not found","N/A"
"Collins and Co. BarberShop","Nashville","Not found","Not found","N/A"
"Prohibition Proper Barbershop","Nashville","prohibitionproper@gmail.com","Facebook page","Medium"
"Beverly's of Nashville Barbershop","Nashville","cchisom08@bellsouth.net","Nextdoor business listing (owner name match)","Medium"
"Scout's Barbershop","Nashville","Not found","Not found","N/A"
"East Nails & Spa","Nashville","Eastnailspa@gmail.com","Facebook About section","Medium"
"South Nail Bar","Nashville","kylienguyen87@yahoo.com","Business website (southnailbar.com) contact","Medium"
"The Nail Spot","Nashville","faizagoff@yahoo.com","Business listing (name-matched to owner Faiza Goff)","Medium"
"Eastside Nails","Nashville","michellesnailstn@gmail.com","Business website/directory contact info","Medium"
"Capital Nail Bar Nashville","Nashville","Not found","Not found","N/A"
"Breaker Barber Company","Johnson City","Not found","Not found","N/A"
"JC Male","Johnson City","jcmalebarberco@gmail.com","Business website (jcmalebarber.co) contact page","Low"
"OP Nails","Johnson City","opnailsjohnson@gmail.com","Business contact info","Low"
"The Barbers Loft","Kingsport","Not found","Not found","N/A"
"Wampler's Barber Co","Kingsport","wamplersbarbershop@gmail.com","Business directory/Facebook listing","Medium"
"Barbershop at 739 N Eastman Rd","Kingsport","Not found","Not found","N/A"
"Barbershop at 119 Broad St","Kingsport","Not found","Not found","N/A"
"BlueCollar BarberShop","Kingsport","Not found","Not found","N/A"
"Gambuzza's Barbershop","Knoxville","Not found","Not found","N/A"
"Rooster's Haircuts","Knoxville","Not found","Not found","N/A"
"Pike Barbershop","Knoxville","Not found","Not found","N/A"
"E.D. Bailey Barbers","Knoxville","Not found","Not found","N/A"
"Dennis Hall's Auto Service","Knoxville","dennishallsautoservice@gmail.com","Business website/directory listing","Medium"
"All Terrain Auto Care","Knoxville","Not found","Not found","N/A"
"Nick & J's Cafe","Knoxville","natourlinda@gmail.com","Business website/directory listing","Medium"
"Nail Bakery & Spa","Knoxville","Nailbakeryspaknoxville@gmail.com","Business website contact page","Medium"
"54th Nail Lounge","Knoxville","54thnailounge@gmail.com","Business website (54thnaillounge.com) contact","Medium"
"Happy Nails & Spa","Cookeville","Thaonguyen6549@gmail.com","Business listing (owner name match)","Medium"
"Doc's Auto & Tire Center","Cookeville","Not found","Not found","N/A"
"Village Barber Shop","Cookeville","Not found","Not found","N/A"
"Faded Barber Co.","Chattanooga","fadedbarbercollc@gmail.com","Business website (fadedbarberco.com) contact","Medium"
"In The Kut Barbershop","Chattanooga","efrain1000@aol.com","Business website (inthekutbarbers.com) contact","Medium"
"Zen Nail Spa","Chattanooga","info@zennailspa.com","Business website (zennailspa.com) contact","High"
"Blush Nail and Spa","Chattanooga","Not found","Not found","N/A"
"Cha Nails & Spa","Chattanooga","huudang85@gmail.com","Business website/directory listing","Medium"
"The Nail & Face Space","Chattanooga","Sunnietnguyen@gmail.com","Business website/directory listing","Medium"
"The Dapper Den Barbershop","Clarksville","Not found","Not found","N/A"
"Eagle Cuts","Clarksville","Not found","Not found","N/A"
"Mona Lisa's Barbershop","Clarksville","monalisas1933@yahoo.com","Business website/directory listing","Medium"
"BBQ at 1820 Tiny Town Rd","Clarksville","office@smokinchikin.com","Business website (smokinchikin.com) contact","High"
"Venetian Nail Spa","Hendersonville","info@venetianhendersonville.com","Business website contact","Medium"
"BMT Nails","Hendersonville","Not found","Not found","N/A"
"BB Nails Spa","Gallatin","Not found","Not found","N/A"
"Public Square Barbers","Gallatin","Not found","Not found","N/A"
"Shop Hands Barbershop","Hendersonville","shophandsbarbershop@gmail.com","Business website/directory listing","Medium"
"Hendersonville Barbers","Hendersonville","Not found","Not found","N/A"
"Tyler's Barbershop","Elizabethton","Not found","Not found","N/A"
"Whitson Barber Shop","Elizabethton","Not found","Not found","N/A"
"The Barber Shop at Essence","Elizabethton","barbershopatessence@gmail.com","Business listing/Facebook","Medium"
"Angel Nails & Spa","Greeneville","patricknam@rocketmail.com","Business website/directory listing","Medium"
"AN Nails","Greeneville","Not found","Not found","N/A"
"Q Nails","Greeneville","Not found","Not found","N/A"
"Express Lane Oil","Morristown","m-marchetti@live.com","Business website (expresslaneoileast.com) contact","Medium"
"Precision Automotive","Morristown","precisionauto@musfiber.com","Business website/directory listing","Medium"
"Elite Automotive & Performance","Morristown","eliteautomotivecenter@yahoo.com","Business website/directory listing","Medium"
"Noah McGinnis Barber","Sevierville","nmcginni@vols.utk.edu","Business listing (owner's personal/university email)","High"
"Operation Barber Company","Sevierville","nmcginni@vols.utk.edu","Business listing (co-founder's personal/university email)","High"
"Blades Barbershop","Pigeon Forge","Not found","Not found","N/A"
"Diva Nails Spa","Sevierville","Vincentcfg1986@gmail.com","Business website/directory listing","Medium"
"Noire The Nail Bar","Pigeon Forge","Not found","Not found","N/A"
"Zeus Barber Shop","Cleveland","Not found","Not found","N/A"
"Bourbon and Blades","Cleveland","Not found","Not found","N/A"
"The Fade Co Barber","Cleveland","Thefadeco423@gmail.com","Business Facebook/website listing","Medium"
"Powerhouse Fades And Shaves","Oak Ridge","Not found","Not found","N/A"
"Dean's Restaurant & Bakery","Oak Ridge","info@deansrestaurantandbakery.com","Business website (deansrestaurantandbakery.com) contact","Medium"
"Hole In The Wall Cafe","Oak Ridge","holeinthewallcafe.lisa@gmail.com","Business listing/Facebook","Medium"
"Off Road Diner and Dogs","Oak Ridge","OffRoadDinerAndDogs@Gmail.com","Facebook page/business listing","Medium"
"The Seafood Place","Tullahoma","Not found","Not found","N/A"
"Emmy's Restaurant","Shelbyville","EatAtEmmys@gmail.com","Business website (eatatemmys.wixsite.com)/Facebook","Medium"
"The Wildwood Reserve Barbershop","Murfreesboro","thewildwoodreserve@gmail.com","Business website/Facebook listing","Medium"
"University Barbershop & Salon","Murfreesboro","Not found","Not found","N/A"
"LV Nail Bar","Murfreesboro","Lvnailbar@yahoo.com","Business website/directory listing","Medium"
"Noire The Nail Bar Murfreesboro","Murfreesboro","thanhnanovina@gmail.com","Business website/directory listing","Medium"
"Tennessee Barber Co.","Franklin","tennesseebarberco@gmail.com","Business Facebook/website listing","Medium"
"The Bashful Barber","Franklin","Not found","Not found","N/A"
"Quintana's Barber & Dream Spa","Cleveland","Not found","Not found","N/A"
"S&S Auto Repair","Chattanooga","Not found","Not found","N/A"
"Blackwell Automotive","Chattanooga","contactus@blackwellautoinc.com","Business website (blackwellautoinc.com) contact","Medium"
"Practical Ideas Autoworks","Kingsport","Not found","Not found","N/A"
"Bills Automotive","Kingsport","Not found","Not found","N/A"
"First Lady Day Spa","Kingsport","Not found","Not found","N/A"
