Business Name,Category,City,State,Address,Phone,Google Rating,Review Count,Website Status,Notes
Barbershop at 7 N Missouri St,Barbershop,Jackson,TN,7 N Missouri St Jackson TN 38301,(731) 217-3491,5.0,30,No website found,Premier barbershop 30+ years combined experience
Barbershop at 209 N Royal St,Barbershop,Jackson,TN,209 N Royal St A Jackson TN 38301,(731) 423-3405,4.5,12,No website found,Local independent shop
Barbershop at 1903 N Highland Ave #2,Barbershop,Jackson,TN,1903 N Highland Ave #2 Jackson TN 38305,(731) 695-4828,4.8,25,No website found,Jackson Plaza Shopping Center area
Barbershop at 1903 N Highland Ave #3,Barbershop,Jackson,TN,1903 N Highland Ave #3 Jackson TN 38305,(731) 664-9912,4.8,37,No website found,Coats Building - Jackson Plaza
Jackson Nails,Nail Salon,Jackson,TN,717 Old Hickory Blvd Ste A Jackson TN 38305,(731) 664-3000,,,"Unverified","Mon-Fri 10am-7pm Sat 10am-7pm"
Happy Nails,Nail Salon,Jackson,TN,2574 Christmasville Cv Jackson TN 38305,,,,"Unverified","Mon-Wed 9am-7pm Thu-Sat 9am-7:30pm Sun 12pm-5pm"
Glossy Nails,Nail Salon,Jackson,TN,35 Carriage House Dr Jackson TN 38305,,,,"Unverified","Mon-Sat 9am-7pm"
Magic Cuts Barber Shop,Barbershop,Memphis,TN,5507 Winchester Rd #1 Memphis TN 38115,,4.9,26,No website found,Highly rated local shop
Mid-City Barber Shop,Barbershop,Memphis,TN,567 Cooper St Memphis TN,,4.4,65,No website found,Neighborhood barbershop
Memphis Finest Barber Shop,Barbershop,Memphis,TN,4205 Hacks Cross Rd Ste 109 Memphis TN 38125,(901) 737-2887,,,Unverified,Local independent barbershop
Memphis Auto Repair Service Inc,Auto Repair,Memphis,TN,3378 Summer Ave Memphis TN 38122,,4.5,,No website found,Family-owned since 1986
The Four Way Restaurant,Restaurant,Memphis,TN,998 Mississippi Blvd Memphis TN,,,,"Unverified","Historic soul food landmark"
Alcenia's,Restaurant,Memphis,TN,317 N Main St Memphis TN,(901) 523-0200,,,Unverified,Soul food in Pinch District - made to order
JJ's Soul Food & Grill,Restaurant,Memphis,TN,Chelsea Ave Memphis TN,,,,"Unverified","Burgers wings fish family-style service"
Memphis Finest BBQ & Soul Food,Restaurant,Memphis,TN,Corner of 3rd St and Brooks Rd Memphis TN,,,,"Unverified","Rib plates shrimp rice local favorite"
Nail Bar,Nail Salon,Memphis,TN,117 Harbor Town Sq Memphis TN 38103,,,179,Unverified,Premier nail bar Harbor Town area
Spa Nail,Nail Salon,Memphis,TN,18 N McLean Blvd Memphis TN,,,,No website found,Known for kindness and affordable pricing
Handyman Services Memphis,Handyman,Memphis,TN,Memphis TN,(901) 612-2502,,,"No website found","Locally owned 5-star service plumbing electrical painting"
Chop Chop Landscaping,Landscaping,Memphis,TN,Memphis TN,(901) 509-9495,,,Unverified,Professional yard cleanup services
Nashville Auto Repair,Auto Repair,Nashville,TN,2609 Franklin Pike Nashville TN 37204,(615) 840-7476,,24,Unverified,Transmission oil changes suspension - Mon-Fri 8am-6pm Sat 8am-3pm
Collins and Co. BarberShop,Barbershop,Nashville,TN,704 18th Ave S Nashville TN 37203,(615) 712-7227,,,Unverified,Well-reviewed local barbershop
Prohibition Proper Barbershop,Barbershop,Nashville,TN,606 Fesslers Ln Ste 100 Nashville TN 37210,(615) 750-5619,,18,Unverified,31 photos on Yelp
